"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Isaac Whitney","OAK","2","WR","1","0","0","0","0","0","0","0","0","52","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Tanner Gentry","CHI","4","WR","5","3","0","35","0","0","0","1","60","10.8","7","11.67","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","5","0.03","1.67"
"Bug Howard","CLV","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Michael Clark","GB","2","WR","14","4","0","41","0","0","0","1","28.6","16.71","2.93","10.25","2.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.1","0.08","1.52"
"C.J. Board","CLV","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Krishawn Hogan","IND","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Chad Hansen","NYJ","15","WR","15","9","0","94","0","0","0","0","60","11.13","6.27","10.44","1.89","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.9","0.04","1.54"
"Josh Malone","CIN","11","WR","16","6","0","63","0","1","0","0","37.5","18.63","3.94","10.5","2.17","","","","","","","","","","","","2","0","2","0","0","0","1","1","0","0","0","","","","","","","","","0","0","15.5","0.06","1.94"
"Josh Reynolds","LA","15","WR","23","11","0","104","0","1","0","1","47.8","8.57","4.52","9.45","3.09","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","21.9","0.08","1.99"
"Dede Westbrook","JAX","7","WR","49","27","0","339","0","1","0","4","55.1","12.27","6.92","12.56","3.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","53.4","0.14","1.98"
"Amara Darboh","SEA","16","WR","13","8","0","71","0","0","0","0","61.5","12.77","5.46","8.88","1.88","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.1","0.06","1.39"
"Chad Williams","ARZ","6","WR","5","3","0","31","0","0","0","0","60","15","6.2","10.33","1.67","","","","","","","","","","","","2","0","33","0","0","0","16.5","1.5","1","0.5","0","","","","","","","","","0","0","7.9","0.08","1.58"
"Kenny Golladay","DET","11","WR","48","28","5","477","0","3","2","3","58.3","15.71","9.94","17.04","6.32","","","","","","","","","","","","1","0","9","0","0","0","9","1","0","0","0","","","","","","","","","0","1","80.6","0.17","2.78"
"Chris Godwin","TB","16","WR","54","34","1","525","1","1","0","2","63","13.24","9.72","15.44","5.09","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","75.5","0.17","2.22"
"JuJu Smith-Schuster","PIT","14","WR","77","58","6","917","3","7","1","2","75.3","10.13","11.91","15.81","6.79","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","162.7","0.23","2.81"
"Corey Davis","TEN","11","WR","64","34","0","375","0","0","0","2","53.1","11.53","5.86","11.03","3.44","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","54.5","0.11","1.6"
"Marquis Bundy","NYG","1","WR","3","0","0","0","0","0","0","0","0","6.33","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Johnny Holton","OAK","16","WR","18","9","3","218","0","3","2","4","50","23.44","12.11","24.22","4.22","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","44.3","0.19","4.92"
"K.J. Brent","IND","5","WR","1","0","0","0","0","0","0","0","0","13","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Bryce Treggs","CLV","6","WR","17","5","0","79","0","0","0","1","29.4","17.47","4.65","15.8","0.6","","","","","","","","","","","","1","0","6","0","0","0","6","0","0","0","0","","","","","","","","","0","0","11","0.07","1.83"
"Darius Powe","NYG","1","WR","4","2","0","13","0","0","0","0","50","9","3.25","6.5","6.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.3","0.05","1.15"
