,player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,fantasyPts,ptsPerSnap,ptsPerTouch,year
137,Jarius Wright,CAR,16,WR,57,43,0,447,0,1,0,3,75.4,5.75,7.84,10.4,4.77,2,0,39,0,0,0,19.5,1.0,0,67.1,0.14,1.69,2018
138,Mohamed Sanu,ATL,16,WR,91,66,2,838,1,4,2,1,72.5,8.18,9.21,12.7,6.0,7,0,44,0,0,0,6.29,1.71,0,0.0,0.17,1.99,2018
139,Terrelle Pryor Sr.,BUF,8,WR,27,16,1,252,0,2,0,2,59.3,13.07,9.33,15.75,3.69,1,0,-1,0,0,0,-1.0,1.0,0,147.3,0.16,2.65,2018
140,Andre Holmes,DEN,14,WR,23,13,0,162,0,0,0,3,56.5,13.13,7.04,12.46,3.85,0,0,0,0,0,0,0.0,0.0,0,42.9,0.07,1.75,2018
141,Joe Webb III,HST,2,WR,3,2,0,13,0,0,0,0,66.7,4.67,4.33,6.5,4.0,0,0,0,0,0,0,0.0,0.0,0,24.1,0.07,1.15,2018
142,Brandon LaFell,OAK,6,WR,16,12,0,135,0,2,0,0,75.0,8.75,8.44,11.25,4.5,0,0,0,0,0,0,0.0,0.0,0,129.4,0.14,2.63,2018
143,Golden Tate,PHI,15,WR,105,74,2,795,2,4,1,7,70.5,6.75,7.57,10.74,5.8,4,0,34,0,0,0,8.5,2.5,0,129.7,0.24,1.84,2018
144,Julian Edelman,NE,12,WR,105,74,0,850,2,6,0,8,70.5,8.03,8.1,11.49,4.72,9,0,107,0,0,0,11.89,2.67,0,200.4,0.23,2.03,2018
145,Danny Amendola,MIA,15,WR,75,59,0,575,0,1,0,2,78.7,7.31,7.67,9.75,3.88,1,0,-2,0,0,0,-2.0,1.0,0,141.9,0.14,1.55,2018
146,Larry Fitzgerald,ARZ,16,WR,107,69,0,734,1,6,0,3,64.5,9.87,6.86,10.64,3.07,0,0,0,0,0,0,0.0,0.0,0,4.4,0.17,2.09,2018
147,Jalen Tolliver,ARZ,3,WR,6,3,0,37,0,0,0,0,50.0,14.33,6.17,12.33,5.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.07,1.73,2018
148,J.J. Jones,NYJ,2,WR,1,1,0,3,0,0,0,0,100.0,2.0,3.0,3.0,1.0,1,0,0,0,0,0,0.0,2.0,0,2.7,0.16,0.4,2018
149,Justin Watson,TB,12,WR,2,1,0,5,0,0,0,0,50.0,5.0,2.5,5.0,0.0,0,0,0,0,0,0,0.0,0.0,0,5.3,0.01,1.0,2018
150,J'Mon Moore,GB,6,WR,3,2,0,15,0,0,0,0,66.7,5.67,5.0,7.5,3.5,0,0,0,0,0,0,0.0,0.0,0,8.5,0.03,1.25,2018
151,Steven Dunbar Jr.,SF,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,42.2,0.0,0.0,2018
152,Tre'Quan Smith,NO,15,WR,43,28,1,427,2,5,1,2,65.1,12.79,9.93,15.25,3.93,0,0,0,0,0,0,0.0,0.0,0,12.7,0.15,3.1,2018
153,Damion Ratley,CLV,11,WR,20,13,0,144,0,0,0,2,65.0,10.9,7.2,11.08,4.0,0,0,0,0,0,0,0.0,0.0,0,123.4,0.12,1.61,2018
154,Daurice Fountain,IND,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,33.4,0.0,0.0,2018
155,Anthony Miller,CHI,15,WR,54,33,2,423,1,7,1,4,61.1,11.61,7.83,12.82,5.24,6,0,26,0,0,0,4.33,1.33,1,83.5,0.18,2.65,2018
156,Saeed Blacknall,OAK,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,32.0,0.0,0.0,2018
157,Keith Kirkwood,NO,8,WR,21,13,1,209,0,2,0,1,61.9,14.14,9.95,16.08,3.69,0,0,0,0,0,0,0.0,0.0,0,85.3,0.18,3.03,2018
158,Marquez Valdes-Scantling,GB,16,WR,67,38,4,581,2,2,1,4,56.7,13.81,8.67,15.29,5.71,2,0,29,0,0,0,14.5,11.0,0,28.4,0.13,2.3,2018
159,D.J. Chark Jr.,JAX,11,WR,31,14,0,174,0,0,0,5,45.2,10.84,5.61,12.43,2.71,0,0,0,0,0,0,0.0,0.0,0,3.3,0.08,1.74,2018
160,Cameron Batson,TEN,10,WR,11,8,0,82,0,0,0,0,72.7,6.73,7.45,10.25,6.88,1,0,1,0,0,0,1.0,6.0,2,38.0,0.07,1.37,2018
161,Steven Mitchell Jr.,HST,0,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,51.5,0.0,0.0,2018
162,River Cracraft,DEN,8,WR,2,1,1,44,0,0,0,0,50.0,36.0,22.0,44.0,1.0,0,0,0,0,0,0,0.0,0.0,0,3.7,0.18,4.9,2018
163,Javon Wims,CHI,4,WR,5,4,0,32,0,0,0,0,80.0,7.0,6.4,8.0,0.5,0,0,0,0,0,0,0.0,0.0,0,14.6,0.17,1.3,2018
164,Lance Lenoir Jr.,DAL,5,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,71.1,0.0,0.0,2018
165,Darvin Kidsy,WAS,2,WR,2,1,0,8,0,0,0,0,50.0,9.5,4.0,8.0,2.0,0,0,0,0,0,0,0.0,0.0,0,132.2,0.1,1.3,2018
166,Zach Pascal,IND,16,WR,44,27,0,268,0,2,0,1,61.4,10.14,6.09,9.93,2.93,2,0,10,0,0,0,5.0,1.0,0,0.0,0.1,1.84,2018
167,Kendrick Bourne,SF,16,WR,60,42,0,487,0,4,0,5,70.0,9.23,8.12,11.6,3.62,0,0,0,0,0,0,0.0,0.0,0,19.0,0.15,2.23,2018
168,Gehrig Dieter,KC,4,WR,3,1,0,22,0,0,0,1,33.3,18.33,7.33,22.0,14.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.08,2.7,2018
169,Marcus Kemp,KC,9,WR,1,1,0,7,0,0,0,0,100.0,-1.0,7.0,7.0,8.0,0,0,0,0,0,0,0.0,0.0,0,33.6,0.03,1.2,2018
170,Tim Patrick,DEN,16,WR,40,23,0,315,0,1,0,4,57.5,10.8,7.88,13.7,4.91,3,0,17,0,0,0,5.67,1.67,2,0.0,0.13,1.95,2018
171,Stacy Coley,NYG,2,WR,1,0,0,0,0,0,0,1,0.0,8.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,131.6,0.0,0.0,2018
172,Shelton Gibson,PHI,10,WR,3,1,1,48,0,0,0,0,33.3,30.67,16.0,48.0,2.0,0,0,0,0,0,0,0.0,0.0,0,7.5,0.08,5.3,2018
173,Jehu Chesson,WAS,4,WR,2,1,0,7,0,0,0,0,50.0,10.5,3.5,7.0,1.0,1,0,-4,0,0,0,-4.0,1.0,0,13.6,0.1,0.4,2018
174,Josh Reynolds,LA,16,WR,49,29,0,402,0,5,0,0,59.2,13.92,8.2,13.86,4.55,2,0,8,0,0,0,4.0,1.5,0,25.4,0.14,2.76,2018
175,Eddie Jackson,CHI,2,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2018
176,Kenny Golladay,DET,15,WR,115,70,3,1063,3,5,0,3,60.9,12.52,9.24,15.19,5.0,1,0,8,0,0,0,8.0,2.0,0,9.6,0.19,2.42,2018
177,Chris Godwin,TB,16,WR,90,59,1,842,3,7,0,1,65.6,12.77,9.36,14.27,4.19,0,0,0,0,0,0,0.0,0.0,0,1.1,0.22,2.64,2018
178,JuJu Smith-Schuster,PIT,16,WR,161,111,4,1426,8,7,2,6,68.9,9.34,8.86,12.85,5.95,1,0,13,0,0,0,13.0,1.0,0,3.1,0.25,2.16,2018
179,Curtis Samuel,CAR,13,WR,62,39,1,494,0,5,1,3,62.9,12.21,7.97,12.67,2.97,8,0,84,0,2,0,10.5,3.0,2,0.0,0.26,2.54,2018
180,John Ross,CIN,13,WR,55,21,0,210,0,7,0,7,38.2,15.13,3.82,10.0,2.81,4,0,9,0,0,0,2.25,1.75,0,29.8,0.12,2.98,2018
181,Mike Williams,LAC,16,WR,64,43,2,664,0,10,2,2,67.2,15.59,10.38,15.44,2.72,7,0,28,0,1,0,4.0,1.86,3,0.8,0.25,3.13,2018
182,Corey Davis,TEN,16,WR,108,65,2,891,2,4,1,4,60.2,10.76,8.25,13.71,4.22,6,0,55,0,0,0,9.17,3.0,1,5.0,0.17,2.13,2018
183,Marvin Hall,ATL,16,WR,19,10,1,149,0,1,1,1,52.6,11.16,7.84,14.9,5.7,2,0,0,0,0,0,0.0,0.5,0,2.3,0.14,2.16,2018
184,Robby Anderson,NYJ,14,WR,87,50,2,752,2,6,2,3,57.5,17.3,8.64,15.04,3.62,2,0,-8,0,0,0,-4.0,1.0,0,8.6,0.2,2.6,2018
185,Andy Jones,DET,8,WR,22,11,0,80,0,1,0,2,50.0,10.86,3.64,7.27,2.64,0,0,0,0,0,0,0.0,0.0,0,37.0,0.08,1.77,2018
186,Marcus Johnson,IND,5,WR,8,6,0,102,0,1,0,1,75.0,13.88,12.75,17.0,4.5,1,0,-2,0,0,0,-2.0,2.0,1,53.1,0.2,2.71,2018
187,Charone Peake,NYJ,11,WR,3,2,0,25,0,0,0,1,66.7,10.0,8.33,12.5,1.5,0,0,0,0,0,0,0.0,0.0,0,1.2,0.04,1.75,2018
188,Demarcus Robinson,KC,16,WR,30,22,1,288,0,4,1,2,73.3,11.7,9.6,13.09,5.14,0,0,0,0,0,0,0.0,0.0,0,0.0,0.15,2.9,2018
189,Pharoh Cooper,ARZ,2,WR,1,0,0,0,0,0,0,0,0.0,6.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,17.5,0.0,0.0,2018
190,Chris Moore,BLT,16,WR,25,19,0,196,0,1,0,0,76.0,10.96,7.84,10.32,3.74,5,0,17,0,0,0,3.4,2.2,1,0.0,0.08,1.53,2018
191,Leonte Carroo,MIA,4,WR,4,2,1,94,0,1,1,0,50.0,26.25,23.5,47.0,20.0,1,0,14,0,0,0,14.0,9.0,0,0.0,0.42,5.93,2018
192,Sterling Shepard,NYG,16,WR,102,66,3,872,2,4,0,8,64.7,10.74,8.55,13.21,4.79,3,0,33,0,0,0,11.0,3.67,1,144.7,0.16,2.14,2018
193,Laquon Treadwell,MIN,15,WR,47,35,0,302,0,1,0,5,74.5,6.02,6.43,8.63,3.37,0,0,0,0,0,0,0.0,0.0,0,35.4,0.1,1.53,2018
194,Tyrell Williams,LAC,16,WR,63,41,4,653,2,5,2,3,65.1,13.27,10.37,15.93,4.93,2,0,15,0,0,0,7.5,3.5,0,93.6,0.15,2.73,2018
195,Jake Kumerow,GB,5,WR,10,8,1,103,0,1,1,0,80.0,10.2,10.3,12.88,3.13,0,0,0,0,0,0,0.0,0.0,0,0.0,0.15,2.54,2018
196,Geremy Davis,LAC,10,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,28.6,0.0,0.0,2018
197,J.J. Nelson,ARZ,14,WR,19,7,0,64,0,0,0,1,36.8,19.53,3.37,9.14,3.29,4,0,0,0,0,0,0.0,1.75,0,77.7,0.05,0.9,2018
198,Justin Hardy,ATL,16,WR,20,14,0,133,0,2,0,1,70.0,6.25,6.65,9.5,5.29,0,0,0,0,0,0,0.0,0.0,0,48.2,0.15,2.31,2018
200,Chris Conley,KC,16,WR,47,32,0,334,0,5,0,5,68.1,9.04,7.11,10.44,4.13,0,0,0,0,0,0,0.0,0.0,0,13.5,0.1,2.48,2018
201,Tyler Lockett,SEA,16,WR,65,57,6,965,1,10,3,0,87.7,14.48,14.85,16.93,3.86,13,0,69,0,0,0,5.31,3.23,2,3.6,0.21,2.74,2018
202,Breshad Perriman,CLV,10,WR,25,16,2,340,0,2,0,0,64.0,18.8,13.6,21.25,4.75,4,0,2,0,0,0,0.5,0.5,0,111.3,0.25,2.71,2018
203,Nelson Agholor,PHI,16,WR,90,64,5,736,1,4,1,4,71.1,10.2,8.18,11.5,5.42,3,0,32,0,0,0,10.67,6.0,0,28.9,0.14,1.98,2018
204,DeVante Parker,MIA,11,WR,43,24,1,309,1,1,0,1,55.8,13.47,7.19,12.88,4.04,0,0,0,0,0,0,0.0,0.0,0,33.9,0.12,2.04,2018
205,Amari Cooper,DAL,15,WR,102,75,3,1005,4,7,3,5,73.5,10.31,9.85,13.4,5.53,2,0,20,0,0,0,10.0,9.5,1,21.7,0.22,2.36,2018
206,Freddie Martino,TB,3,WR,1,0,0,0,0,0,0,0,0.0,8.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,7.1,0.0,0.0,2018
207,Taylor Gabriel,CHI,16,WR,91,67,3,688,2,2,0,2,73.6,10.99,7.56,10.27,3.39,9,0,61,0,0,0,6.78,2.33,0,5.3,0.15,1.58,2018
208,Albert Wilson,MIA,7,WR,36,26,3,391,1,4,3,1,72.2,7.83,10.86,15.04,13.27,8,0,16,0,0,0,2.0,2.25,2,11.6,0.33,2.29,2018
209,T.J. Jones,DET,15,WR,25,19,0,190,0,2,0,0,76.0,10.44,7.6,10.0,2.32,0,0,0,0,0,0,0.0,0.0,0,131.0,0.09,2.13,2018
210,Ryan Grant,IND,14,WR,52,35,0,334,0,1,0,3,67.3,9.46,6.42,9.54,2.54,0,0,0,0,0,0,0.0,0.0,0,19.8,0.1,1.63,2018
211,John Brown,BLT,16,WR,91,42,4,715,2,5,0,7,46.2,17.01,7.86,17.02,4.02,3,0,4,0,0,0,1.33,1.67,0,210.2,0.16,2.73,2018
212,Donte Moncrief,JAX,16,WR,85,48,2,668,1,3,2,4,56.5,13.51,7.86,13.92,4.85,0,0,0,0,0,0,0.0,0.0,0,207.0,0.13,2.27,2018
213,Allen Robinson II,CHI,13,WR,94,55,1,754,1,4,0,2,58.5,12.53,8.02,13.71,4.0,1,0,9,0,0,0,9.0,4.0,0,75.8,0.17,2.28,2018
214,Paul Richardson Jr.,WAS,7,WR,33,20,1,262,0,2,1,0,60.6,13.06,7.94,13.1,2.6,2,0,9,0,0,0,4.5,2.0,0,69.6,0.13,2.23,2018
215,Odell Beckham Jr.,NYG,12,WR,119,77,3,1052,5,6,0,3,64.7,12.55,8.84,13.66,4.13,5,0,19,0,0,0,3.8,2.0,0,32.8,0.25,2.21,2018
216,Brice Butler,MIA,8,WR,10,6,0,60,0,1,0,0,60.0,13.5,6.0,10.0,0.33,0,0,0,0,0,0,0.0,0.0,0,0.1,0.13,2.5,2018
217,Kenny Stills,MIA,15,WR,60,37,2,553,2,6,1,3,61.7,16.85,9.22,14.95,3.65,0,0,0,0,0,0,0.0,0.0,0,11.3,0.15,2.97,2018
218,Markus Wheaton,PHI,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,3.4,0.0,0.0,2018
219,Marquise Goodwin,SF,11,WR,41,23,2,395,1,4,2,1,56.1,14.34,9.63,17.17,5.65,4,0,9,0,0,0,2.25,1.0,0,0.0,0.17,2.81,2018
220,Justin Hunter,PIT,5,WR,13,3,0,21,0,0,0,1,23.1,20.23,1.62,7.0,1.0,0,0,0,0,0,0,0.0,0.0,0,178.7,0.03,1.2,2018
221,Deonte Thompson,BUF,13,WR,30,17,0,161,0,0,0,2,56.7,12.4,5.37,9.47,2.12,0,0,0,0,0,0,0.0,0.0,0,205.9,0.1,1.45,2018
222,Josh Bellamy,CHI,16,WR,25,14,0,117,0,1,0,1,56.0,12.16,4.68,8.36,3.07,0,0,0,0,0,0,0.0,0.0,0,54.0,0.08,1.76,2018
223,Marvin Jones Jr.,DET,9,WR,59,35,0,508,1,5,0,2,59.3,15.78,8.61,14.51,2.94,0,0,0,0,0,0,0.0,0.0,0,50.5,0.18,2.81,2018
224,Travis Benjamin,LAC,12,WR,23,12,1,186,0,1,1,2,52.2,20.7,8.09,15.5,5.17,7,0,41,0,0,0,5.86,2.0,2,5.3,0.12,1.83,2018
225,Michael Floyd,WAS,13,WR,23,10,0,100,0,1,0,2,43.5,14.43,4.35,10.0,2.8,0,0,0,0,0,0,0.0,0.0,0,3.4,0.06,2.1,2018
226,Kamar Aiken,PHI,5,WR,7,6,0,53,0,0,0,0,85.7,6.29,7.57,8.83,2.5,0,0,0,0,0,0,0.0,0.0,0,99.4,0.06,1.38,2018
227,Aldrick Robinson,MIN,14,WR,32,17,1,231,0,5,1,2,53.1,19.34,7.22,13.59,2.35,0,0,0,0,0,0,0.0,0.0,0,4.0,0.24,3.62,2018
228,Torrey Smith,CAR,11,WR,28,17,0,190,0,2,0,2,60.7,14.93,6.79,11.18,2.71,0,0,0,0,0,0,0.0,0.0,0,42.0,0.12,2.32,2018
229,Prince Amukamara,CHI,0,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,100.1,0.0,0.0,2018
230,A.J. Green,CIN,9,WR,77,46,0,694,2,6,0,5,59.7,13.62,9.01,15.09,3.3,0,0,0,0,0,0,0.0,0.0,0,32.1,0.28,2.79,2018
231,Andre Roberts,NYJ,13,WR,18,10,0,79,0,1,0,2,55.6,9.11,4.39,7.9,1.7,2,0,20,0,0,0,10.0,2.0,0,187.9,0.11,1.74,2018
232,Emmanuel Sanders,DEN,12,WR,97,71,4,868,3,4,2,4,73.2,9.74,8.95,12.23,4.25,4,0,53,0,1,0,13.25,1.75,0,24.1,0.24,2.1,2018
233,Demaryius Thomas,HST,15,WR,87,59,2,677,1,5,1,7,67.8,10.74,7.78,11.47,4.73,0,0,0,0,0,0,0.0,0.0,0,40.9,0.17,2.16,2018
234,Pierre Garcon,SF,8,WR,41,24,0,286,0,1,0,4,58.5,9.51,6.98,11.92,4.13,0,0,0,0,0,0,0.0,0.0,0,62.2,0.12,1.94,2018
235,Matthew Slater,NE,7,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,162.9,0.0,0.0,2018
236,DeSean Jackson,TB,12,WR,72,41,5,774,3,4,3,2,56.9,19.58,10.75,18.88,4.32,6,0,29,0,1,0,4.83,1.17,0,6.0,0.29,2.78,2018
237,Jordy Nelson,OAK,15,WR,86,63,3,739,1,3,0,1,73.3,9.35,8.59,11.73,3.89,1,0,-2,0,0,0,-2.0,0.0,0,1.2,0.15,1.93,2018
238,Brandon Marshall,NO,7,WR,22,11,0,136,0,1,0,3,50.0,11.86,6.18,12.36,1.82,0,0,0,0,0,0,0.0,0.0,0,14.1,0.13,2.28,2018
239,Trenton Cannon,NYJ,13,RB,26,17,0,144,0,0,0,4,65.4,6.27,5.54,8.47,7.29,38,0,113,0,1,0,2.97,2.63,9,149.9,0.22,0.73,2018
240,Nyheim Hines,IND,16,RB,78,63,0,425,0,2,0,4,80.8,2.51,5.45,6.75,5.4,85,0,313,0,2,0,3.68,2.31,6,67.3,0.26,0.87,2018
241,Jaylen Samuels,PIT,11,RB,29,26,0,199,0,3,0,0,89.7,-0.17,6.86,7.65,8.5,56,0,256,1,0,0,4.57,2.63,3,4.2,0.34,0.93,2018
242,Gus Edwards,BLT,11,RB,2,2,0,20,0,0,0,0,100.0,1.5,10.0,10.0,8.5,137,1,718,3,2,0,5.24,3.22,23,32.4,0.3,0.62,2018
243,Mark Walton,CIN,9,RB,7,5,0,41,0,0,0,1,71.4,-1.71,5.86,8.2,9.4,14,0,34,0,0,0,2.43,1.86,0,70.9,0.11,0.53,2018
244,Shaun Wilson,TB,5,RB,5,3,0,5,0,0,0,0,60.0,4.2,1.0,1.67,1.67,6,0,29,0,0,0,4.83,1.67,0,0.0,0.21,0.54,2018
245,Ito Smith,ATL,13,RB,30,27,0,152,0,0,0,0,90.0,-0.5,5.07,5.63,6.04,90,0,315,0,4,0,3.5,2.73,20,27.6,0.27,0.72,2018
246,Chase Edmonds,ARZ,16,RB,23,20,0,103,0,0,0,1,87.0,-0.78,4.48,5.15,6.3,60,0,208,0,2,0,3.47,2.22,6,0.0,0.27,0.66,2018
247,Saquon Barkley,NYG,16,RB,114,91,2,721,0,4,1,5,79.8,0.02,6.32,7.92,8.65,261,7,1307,7,11,4,5.01,3.34,40,6.5,0.4,0.96,2018
248,Nick Chubb,CLV,16,RB,28,20,0,149,0,2,0,3,71.4,1.64,5.32,7.45,9.05,192,4,996,4,8,3,5.19,4.47,44,3.4,0.47,0.87,2018
249,Royce Freeman,DEN,14,RB,19,14,0,72,0,0,0,3,73.7,0.89,3.79,5.14,4.21,130,0,521,0,5,0,4.01,3.22,24,85.9,0.31,0.67,2018
250,Kalen Ballage,MIA,11,RB,11,9,0,56,0,0,0,1,81.8,-0.91,5.09,6.22,8.11,36,1,191,1,1,1,5.31,4.06,2,26.3,0.38,0.78,2018
251,David Williams,JAX,4,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,0,36,0,0,0,4.5,1.88,0,83.5,0.18,0.45,2018
252,Detrez Newsome,LAC,3,RB,2,2,0,19,0,0,0,0,100.0,-0.5,9.5,9.5,10.0,11,0,49,0,0,0,4.45,3.55,1,91.1,0.27,0.6,2018
253,Dontrell Hilliard,CLV,9,RB,10,9,0,105,0,0,0,0,90.0,1.2,10.5,11.67,10.67,0,0,0,0,0,0,0.0,0.0,0,36.5,0.26,1.67,2018
254,Taquan Mizzell Sr.,CHI,9,RB,10,8,0,78,0,1,0,0,80.0,4.6,7.8,9.75,5.0,9,0,16,0,0,0,1.78,2.22,0,58.4,0.28,1.14,2018
255,Josh Adams,PHI,13,RB,13,7,0,58,0,0,0,2,53.8,-0.92,4.46,8.29,9.86,120,0,511,0,3,0,4.26,2.84,20,183.6,0.31,0.62,2018
257,John Kelly,LA,3,RB,3,2,0,27,0,0,0,1,66.7,-2.33,9.0,13.5,14.0,27,0,74,0,0,0,2.74,2.48,6,30.8,0.22,0.38,2018
258,Kerryon Johnson,DET,10,RB,37,32,0,213,0,1,0,0,86.5,-0.49,5.76,6.66,8.44,118,1,641,2,3,0,5.43,3.32,21,27.9,0.36,0.84,2018
259,Ronald Jones,TB,8,RB,9,7,0,33,0,0,0,2,77.8,-1.56,3.67,4.71,6.0,23,0,44,0,1,0,1.91,2.04,2,1.1,0.19,0.57,2018
260,Mike Boone,MIN,6,RB,3,2,0,1,0,0,0,1,66.7,-0.33,0.33,0.5,2.5,11,0,47,0,0,0,4.27,3.55,4,6.5,0.16,0.45,2018
261,Justin Jackson,LAC,8,RB,17,15,0,135,0,0,0,0,88.2,-0.41,7.94,9.0,10.0,50,0,206,0,2,0,4.12,2.76,10,45.5,0.36,0.82,2018
262,Jeff Wilson Jr.,SF,6,RB,15,12,0,98,0,0,0,1,80.0,0.33,6.53,8.17,7.92,66,0,266,0,0,0,4.03,2.56,9,22.5,0.22,0.54,2018
263,Roc Thomas,MIN,5,RB,3,2,0,21,0,0,0,0,66.7,3.67,7.0,10.5,6.0,8,0,30,0,0,0,3.75,1.75,2,76.8,0.21,0.61,2018
264,Sony Michel,NE,13,RB,11,7,0,50,0,0,0,1,63.6,0.55,4.55,7.14,7.57,209,0,931,4,6,0,4.45,2.56,25,10.7,0.43,0.64,2018
265,Rashaad Penny,SEA,12,RB,12,9,0,75,0,0,0,2,75.0,0.25,6.25,8.33,8.33,85,0,419,1,2,0,4.93,3.4,12,65.4,0.36,0.7,2018
266,Jordan Wilkins,IND,13,RB,16,16,0,85,0,0,0,0,100.0,-1.69,5.31,5.31,7.0,60,1,336,0,1,0,5.6,3.0,5,44.2,0.28,0.74,2018
267,De'Lance Turner,BLT,2,RB,2,2,0,17,0,0,0,0,100.0,2.0,8.5,8.5,6.5,1,0,4,0,0,0,4.0,5.0,1,218.1,0.34,1.03,2018
268,Keith Ford,BUF,2,RB,4,3,0,21,0,0,0,1,75.0,-0.75,5.25,7.0,6.67,21,0,79,0,0,0,3.76,2.14,0,243.2,0.16,0.48,2018
269,Darrel Williams,KC,6,RB,3,3,0,27,0,1,0,0,100.0,-2.0,9.0,9.0,11.0,13,0,44,0,0,0,3.38,2.31,2,0.0,0.36,0.91,2018
270,Phillip Lindsay,DEN,15,RB,44,35,0,241,0,1,0,4,79.5,-1.14,5.48,6.89,8.66,192,3,1037,3,9,2,5.4,2.35,22,50.2,0.45,0.9,2018
271,Matt Breida,SF,14,RB,31,27,0,261,0,2,0,0,87.1,2.55,8.42,9.67,8.56,153,1,814,3,3,1,5.32,2.85,14,0.7,0.41,0.84,2018
272,Corey Clement,PHI,11,RB,25,22,0,192,0,0,0,0,88.0,-1.36,7.68,8.73,12.27,68,0,259,0,2,0,3.81,2.4,2,0.8,0.29,0.76,2018
273,Justin Davis,LA,2,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,19,0,0,0,9.5,1.5,0,120.7,0.38,0.95,2018
274,Austin Ekeler,LAC,14,RB,47,39,1,404,0,3,1,2,83.0,0.7,8.6,10.36,10.62,106,1,554,0,3,0,5.23,3.63,15,44.8,0.43,1.04,2018
275,Matt Dayes,SF,3,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,44.7,0.0,0.0,2018
276,Chris Carson,SEA,14,RB,22,20,0,163,0,0,0,1,90.9,-0.18,7.41,8.15,8.45,247,1,1151,6,9,0,4.66,3.36,45,161.9,0.43,0.73,2018
277,De'Angelo Henderson Sr.,NYJ,1,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,19,0,0,0,9.5,1.0,0,32.1,0.63,0.95,2018
278,Elijah McGuire,NYJ,8,RB,30,19,0,193,0,1,0,5,63.3,4.1,6.43,10.16,9.16,91,0,279,0,3,0,3.07,2.71,11,53.9,0.25,0.73,2018
279,Aaron Jones,GB,12,RB,32,26,0,206,0,1,0,2,81.3,-0.38,6.44,7.92,8.65,133,1,728,1,8,0,5.47,2.97,26,1.2,0.43,1.01,2018
280,T.J. Logan,ARZ,6,RB,7,7,0,37,0,0,0,0,100.0,-0.29,5.29,5.29,5.57,2,0,2,0,0,0,1.0,2.0,0,7.4,0.35,0.82,2018
281,Jeremy McNichols,TEN,1,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,4,0,0,0,2.0,3.0,1,20.4,0.2,0.2,2018
282,Brian Hill,ATL,5,RB,2,1,0,9,0,0,0,0,50.0,3.5,4.5,9.0,5.0,20,1,157,1,0,0,7.85,2.65,3,193.0,0.26,0.81,2018
283,Marlon Mack,IND,12,RB,24,17,0,103,0,1,0,3,70.8,-0.79,4.29,6.06,6.88,195,1,908,4,9,0,4.66,2.84,18,135.4,0.38,0.8,2018
284,Wayne Gallman,NYG,15,RB,21,14,0,89,0,0,0,2,66.7,1.48,4.24,6.36,5.93,51,0,176,0,1,0,3.45,2.24,9,2.6,0.25,0.61,2018
285,Jamaal Williams,GB,16,RB,33,27,0,210,0,0,0,0,81.8,-0.7,6.36,7.78,8.52,121,0,464,0,3,0,3.83,2.63,10,86.9,0.19,0.67,2018
286,Tarik Cohen,CHI,16,RB,87,71,3,725,2,5,1,1,81.6,3.75,8.33,10.21,7.59,99,0,444,0,3,0,4.48,2.17,17,17.0,0.4,1.18,2018
287,Samaje Perine,WAS,4,RB,3,3,0,5,0,0,0,0,100.0,-1.0,1.67,1.67,2.67,8,0,32,0,0,0,4.0,2.88,2,1.2,0.17,0.47,2018
