"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Antonio Gates","LAC","16","TE","44","28","0","333","0","2","0","0","63.6","8.73","7.57","11.89","4.32","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","2","3","59.3","0.16","2.12"
"Dan Arnold","NO","10","TE","19","12","0","150","0","1","0","1","63.2","10.63","7.89","12.5","2.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","27","0.19","2.25"
"Mark Andrews","BLT","16","TE","48","34","2","552","0","3","1","3","70.8","11.19","11.5","16.24","5.82","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","90.2","0.22","2.65"
"Dalton Schultz","DAL","11","TE","16","12","0","116","0","0","0","0","75","4.06","7.25","9.67","5.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","17.6","0.06","1.47"
"Hayden Hurst","BLT","12","TE","21","13","0","163","0","1","0","0","61.9","7.19","7.76","12.54","5.62","","","","","","","","","","","","1","0","0","0","0","0","0","2","0","0","0","","","","","","","","","0","0","28.8","0.1","2.06"
"Dallas Goedert","PHI","16","TE","43","33","0","334","0","4","0","2","76.7","8","7.77","10.12","5.36","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","73.9","0.14","2.24"
"Durham Smythe","MIA","15","TE","9","6","0","50","0","0","0","0","66.7","5","5.56","8.33","1.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8","0.05","1.33"
"Tyler Conklin","MIN","16","TE","7","5","0","77","0","0","0","1","71.4","8.71","11","15.4","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.2","0.07","2.04"
"Jordan Akins","HST","16","TE","24","17","0","225","0","0","0","0","70.8","6.96","9.38","13.24","7.35","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","31","0.08","1.82"
"Ian Thomas","CAR","15","TE","47","36","0","333","0","2","0","4","76.6","6.98","7.09","9.25","4.17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","63.3","0.12","1.76"
"Jordan Thomas","HST","16","TE","23","20","0","215","0","4","0","1","87","6.87","9.35","10.75","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","55.5","0.12","2.77"
"Deon Yelder","KC","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Antony Auclair","TB","16","TE","8","7","0","48","0","0","0","0","87.5","4.63","6","6.86","1.71","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.3","0.02","1.19"
"Ross Dwelley","SF","7","TE","2","2","0","14","0","0","0","0","100","6.5","7","7","0.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.4","0.06","1.2"
"Tyrone Swoopes","SEA","1","TE","1","1","0","23","0","0","0","0","100","10","23","23","13","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.8","0.1","2.8"
"Johnny Mundt","LA","9","TE","1","1","0","5","0","0","0","0","100","0","5","5","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1","0.02","1"
"Robert Tonyan","GB","11","TE","5","4","1","77","0","1","1","1","80","14.6","15.4","19.25","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15.7","0.23","3.92"
"Jason Croom","BUF","15","TE","33","22","0","259","0","2","0","2","66.7","8.06","7.85","11.77","6.27","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","48.9","0.13","2.22"
"Darrell Daniels","ARZ","7","TE","2","0","0","0","0","0","0","0","0","26.5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Mo Alie-Cox","IND","9","TE","13","7","0","133","0","2","0","2","53.8","12.38","10.23","19","6.86","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","28.8","0.12","4.11"
"Jacob Hollister","NE","7","TE","5","4","0","52","0","0","0","1","80","8","10.4","13","4.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.2","0.12","1.8"
"Ricky Seals-Jones","ARZ","15","TE","66","34","1","343","0","1","0","4","51.5","9.74","5.2","10.09","2.91","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","57.3","0.11","1.69"
"Eric Saubert","ATL","16","TE","9","5","0","48","0","0","0","2","55.6","6","5.33","9.6","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.3","0.04","1.46"
"Jeremy Sprinkle","WAS","16","TE","8","5","0","41","0","1","0","0","62.5","7","5.13","8.2","4.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.6","0.03","2.52"
"Jordan Leggett","NYJ","15","TE","22","14","0","114","0","1","0","1","63.6","6.91","5.18","8.14","3.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","24.4","0.07","1.74"
"George Kittle","SF","16","TE","128","88","6","1377","4","5","3","6","68.8","7.65","10.76","15.65","9.92","","","","","","","","","","","","1","0","10","0","0","0","10","1","0","0","0","","","","","","","","","1","2","212.7","0.23","2.39"
"Jake Butt","DEN","3","TE","11","8","0","85","0","0","0","0","72.7","7","7.73","10.63","5.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.5","0.13","1.56"
"Michael Roberts","DET","8","TE","18","9","0","100","0","3","0","1","50","7.72","5.56","11.11","2.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","32.5","0.2","3.61"
"Jonnu Smith","TEN","13","TE","29","20","1","258","0","3","1","3","69","5.9","8.9","12.9","9.15","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","53.8","0.09","2.69"
"Adam Shaheen","CHI","6","TE","6","5","0","48","0","1","0","0","83.3","10.5","8","9.6","2.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","13.3","0.08","2.66"
"Gerald Everett","LA","16","TE","48","33","1","320","0","3","1","1","68.8","7.04","6.67","9.7","4.36","","","","","","","","","","","","2","0","16","0","0","0","8","3","1","0.5","0","","","","","","","","","1","1","68.1","0.18","1.95"
"David Njoku","CLV","16","TE","83","56","2","639","0","4","0","8","67.5","9.04","7.7","11.41","5.63","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","115.9","0.13","2.07"
"Evan Engram","NYG","11","TE","63","45","2","577","0","3","0","3","71.4","5.54","9.16","12.82","8.67","","","","","","","","","","","","3","0","36","0","0","0","12","6.67","2","0.67","0","","","","","","","","","1","1","101.8","0.21","2.12"
"O.J. Howard","TB","10","TE","47","34","1","565","0","5","1","2","72.3","11.6","12.02","16.62","6.38","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","103.5","0.24","3.04"
"Ben Braunecker","CHI","14","TE","5","3","0","42","0","0","0","0","60","15.8","8.4","14","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.7","0.05","1.9"
"Cole Wick","TEN","3","TE","1","0","0","0","0","0","0","1","0","3","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Hakeem Valles","DET","3","TE","3","2","0","11","0","0","0","0","66.7","9.33","3.67","5.5","0.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.1","0.07","1.05"
"Alan Cross","TB","14","TE","4","2","0","9","0","0","0","1","50","3.75","2.25","4.5","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.9","0.02","0.95"
"David Morgan","MIN","11","TE","6","5","0","36","0","0","0","0","83.3","2.17","6","7.2","5.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.1","0.03","1.22"
"Temarrick Hemingway","DEN","2","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Seth DeValve","CLV","12","TE","7","5","0","74","0","1","0","0","71.4","12.71","10.57","14.8","3.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","15.9","0.16","3.18"
"Nick Kwiatkoski","CHI","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","0","0",""
"Tyler Higbee","LA","16","TE","29","24","0","292","0","2","0","1","82.8","7.41","10.07","12.17","5.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","53.2","0.07","2.22"
"Nick Vannett","SEA","15","TE","40","29","0","269","0","3","0","1","72.5","6.45","6.72","9.28","4.76","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","59.4","0.11","2.05"
"Austin Hooper","ATL","16","TE","86","71","0","660","0","4","0","2","82.6","6.97","7.67","9.3","3.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","125.5","0.16","1.77"
"Chris Manhertz","CAR","16","TE","5","2","1","52","0","1","1","0","40","7.2","10.4","26","22.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.2","0.04","6.1"
"Daniel Brown","CHI","9","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Brian Parker","DEN","11","TE","8","5","0","33","0","0","0","0","62.5","3.88","4.13","6.6","5.8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.8","0.04","1.16"
"Khari Lee","BUF","2","TE","1","1","0","5","0","0","0","0","100","-1","5","5","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1","0.02","1"
