"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"James O'Shaughnessy","JAX","5","TE","20","14","0","153","0","2","0","0","70","6.6","7.65","10.93","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","34.3","0.17","2.45"
"Nick Boyle","BLT","16","TE","42","31","0","321","0","2","0","2","73.8","6.38","7.64","10.35","5.13","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","59.6","0.08","1.92"
"Jesse James","DET","16","TE","25","16","0","142","0","0","0","2","64","5.52","5.68","8.88","3.81","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","22.2","0.05","1.39"
"C.J. Uzomah","CIN","16","TE","36","27","0","242","0","2","0","2","75","4.42","6.72","8.96","4.81","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","49.7","0.08","1.84"
"MyCole Pruitt","TEN","16","TE","7","6","1","90","0","1","0","0","85.7","4.86","12.86","15","11.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","18","0.04","3"
"Blake Bell","KC","15","TE","13","8","0","67","0","0","0","3","61.5","6.85","5.15","8.38","1.63","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.7","0.03","1.34"
"Jeff Heuerman","DEN","14","TE","20","14","0","114","0","1","0","1","70","5.25","5.7","8.14","3.29","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","24.4","0.06","1.74"
"Tyler Kroft","BUF","11","TE","13","6","0","71","0","1","0","1","46.2","8.46","5.46","11.83","4.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.1","0.07","2.68"
"Clive Walford","MIA","7","TE","8","4","0","57","0","0","0","3","50","9.88","7.13","14.25","6.75","","","","","","","","","","","","0","0","4","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.1","0.07","2.02"
"Jerome Cunningham","WAS","2","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Trey Burton","CHI","8","TE","23","14","0","84","0","0","0","2","60.9","5.48","3.65","6","2.86","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15.4","0.05","1.1"
